Website ID;Website-Name;Category Name;Category Comment;Seiten-ID;Seitenname;Platzierungs ID;Platzierungsname;"Platzierungsgr&#246;&#223;e";Platzierungsposition;Platzierungstyp;Platzierungsstatus;Kommission CPM;Kommission Typ;Kommission CPC;Kommission Typ;Contact name;Kontakt-E-Mail;"Bannergr&#246;&#223;en-ID";Alias;Ext.-ID;Mediatype ID;Platzierungsklasse
1179264;bzbasel.ch_2015;;;783712;Home;5720208;Home Content Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720214;Static Bottom Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720216;Ressort Top Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720241;Artikel Bottom Board Tablet;728 x 90;default;default;active;;;;; ;;225;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720201;Home Rectangle Tablet;320 x 250;default;default;active;;;;; ;;797;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720220;Home Rectangle Mobile;320 x 250;default;default;active;;;;; ;;797;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720226;Ressort Rectangle Tablet;320 x 250;default;default;active;;;;; ;;797;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720227;Artikel Rectangle Mobile;320 x 250;default;default;active;;;;; ;;797;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720229;Ressort Rectangle Mobile;320 x 250;default;default;active;;;;; ;;797;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720238;Artikel Rectangle Tablet;320 x 250;default;default;active;;;;; ;;797;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720232;Artikel Layer/Interstitial Tablet;1 x 2;default;default;active;;;;; ;;1013;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720218;Artikel Layer/Interstitial Desktop;1 x 3;default;default;active;;;;; ;;2898;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720188;Artikel Top Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720193;Ressort Content Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720196;Home Bottom Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720203;Static Top Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720215;Ressort Bottom Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783714;Ressort;5720221;Ressort Top Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720225;Artikel Content Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720228;Static Content Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783713;Artikel;5720231;Artikel Bottom Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783715;Static;5720234;Static Bottom Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
1179264;bzbasel.ch_2015;;;783712;Home;5720237;Home Top Board Mobile;320 x 160;default;default;active;;;;; ;;5050;null;-;0;0
